id,parent,name,level,hid,iso639_3,latitude,longitude,macroareas,countries,timespan,branch,parent_name,id.1,family,family_id,macroarea,nr_macroarea,Genus.wals,Area.autotyp,Family.wals
adyg1241,circ1239,Adyghe,language,ady,ady,44.0,39.33,['Eurasia'],"['Israel', 'Jordan', 'Russian Federation', 'Syrian Arab Republic', 'Turkey']",,Circassian,Circassian,adyg1241,Abkhaz-Adyge,abkh1242,Eurasia,1,Northwest Caucasian,Greater Mesopotamia,Northwest Caucasian
kaba1278,circ1239,Kabardian,language,kbd,kbd,43.5082,43.3918,['Eurasia'],"['Russian Federation', 'Turkey']",,Circassian,Circassian,kaba1278,Abkhaz-Adyge,abkh1242,Eurasia,1,Northwest Caucasian,Greater Mesopotamia,Northwest Caucasian
tach1250,atla1275,Tachelhit,language,shi,shi,29.7854,-7.77879,['Africa'],"['Algeria', 'Morocco']",,Atlas Berber,Atlas Berber,tach1250,Afro-Asiatic,afro1255,Africa,1,Berber,N Africa,Afro-Asiatic
kaby1243,kaby1244,Kabyle,language,kab,kab,36.4103,4.76137,['Africa'],['Algeria'],,Kabyle-Atlas Berber,Kabyle-Atlas Berber,kaby1243,Afro-Asiatic,afro1255,Africa,1,Berber,N Africa,Afro-Asiatic
tama1365,sout3263,Tamasheq,language,taq,taq,14.2038,-2.41269,['Africa'],"['Burkina Faso', 'Mali']",,Southern Tuareg,Southern Tuareg,tama1365,Afro-Asiatic,afro1255,Africa,1,Berber,African Savannah,Afro-Asiatic
tawa1286,sout3263,Tawallammat Tamajaq,language,ttq,ttq,13.9878,4.47692,['Africa'],"['Burkina Faso', 'Mali', 'Niger', 'Nigeria']",,Southern Tuareg,Southern Tuareg,tawa1286,Afro-Asiatic,afro1255,Africa,1,,,
mbuk1243,hurz1242,Mbuko,language,mqb,mqb,10.7788,14.1677,['Africa'],['Cameroon'],,Hurza,Hurza,mbuk1243,Afro-Asiatic,afro1255,Africa,1,,,
gida1247,nort3156,Gidar,language,gid,gid,9.874715,14.07845,['Africa'],"['Cameroon', 'Chad']",,North Biu-Mandara,North Biu-Mandara,gida1247,Afro-Asiatic,afro1255,Africa,1,Biu-Mandara,African Savannah,Afro-Asiatic
bana1305,nkaf1238,Bana,language,bcw,bcw,10.3535,13.6131,['Africa'],['Cameroon'],,Nkafa-Kirya-Bana,Nkafa-Kirya-Bana,bana1305,Afro-Asiatic,afro1255,Africa,1,Biu-Mandara,African Savannah,Afro-Asiatic
kamw1239,higi1242,Kamwe,language,hig,hig,10.646,13.5136,['Africa'],"['Cameroon', 'Nigeria']",,Nkafa-Kirya,Nkafa-Kirya,kamw1239,Afro-Asiatic,afro1255,Africa,1,,,
psik1239,higi1241,Psikye,language,kvj,kvj,10.677,13.569,['Africa'],"['Cameroon', 'Nigeria']",,Higic,Higic,psik1239,Afro-Asiatic,afro1255,Africa,1,,,
hdii1240,lama1287,Hdi,language,xed,xed,10.942,13.6881,['Africa'],"['Cameroon', 'Nigeria']",,Lamang-Hdi,Lamang-Hdi,hdii1240,Afro-Asiatic,afro1255,Africa,1,Biu-Mandara,African Savannah,Afro-Asiatic
mata1306,podo1243,Matal,language,mfh,mfh,10.9284,14.0474,['Africa'],['Cameroon'],,Podoko,Podoko,mata1306,Afro-Asiatic,afro1255,Africa,1,,,
park1239,podo1243,Parkwa,language,pbi,pbi,11.0206,14.0964,['Africa'],['Cameroon'],,Podoko,Podoko,park1239,Afro-Asiatic,afro1255,Africa,1,Biu-Mandara,African Savannah,Afro-Asiatic
wand1278,wand1281,Wandala,language,mfi,mfi,11.3169,13.8996,['Africa'],"['Cameroon', 'Nigeria']",,Wandala-Malgwa,Wandala-Malgwa,wand1278,Afro-Asiatic,afro1255,Africa,1,,,
mere1246,meri1245,Merey,language,meq,meq,10.7458,14.09,['Africa'],['Cameroon'],,Meri,Meri,mere1246,Afro-Asiatic,afro1255,Africa,1,,,
zulg1242,meri1245,Zulgo-Gemzek,language,gnd,gnd,10.827,14.0578,['Africa'],['Cameroon'],,Meri,Meri,zulg1242,Afro-Asiatic,afro1255,Africa,1,,,
mofu1248,mofu1250,Mofu-Gudur,language,mif,mif,10.567,14.0314,['Africa'],['Cameroon'],,Mofu,Mofu,mofu1248,Afro-Asiatic,afro1255,Africa,1,Biu-Mandara,African Savannah,Afro-Asiatic
nort3046,mofu1250,North Mofu,language,mfk,mfk,10.6834,14.1117,['Africa'],['Cameroon'],,Mofu,Mofu,nort3046,Afro-Asiatic,afro1255,Africa,1,,,
muya1243,toko1243,Muyang,language,muy,muy,10.86047,14.21246,['Africa'],['Cameroon'],,Tokombere,Tokombere,muya1243,Afro-Asiatic,afro1255,Africa,1,,,
sout3051,gizi1243,South Giziga,language,giz,giz,10.2809,14.1931,['Africa'],['Cameroon'],,Maroua,Giziga,sout3051,Afro-Asiatic,afro1255,Africa,1,,,
gude1246,fali1290,Gude,language,gde,gde,10.2138,13.403,['Africa'],"['Cameroon', 'Nigeria']",,Fali-Gude,Fali-Gude,gude1246,Afro-Asiatic,afro1255,Africa,1,Biu-Mandara,African Savannah,Afro-Asiatic
mafa1239,mata1311,Mafa,language,maf,maf,10.943,13.8181,['Africa'],"['Cameroon', 'Nigeria']",,Matakam,Matakam,mafa1239,Afro-Asiatic,afro1255,Africa,1,,,
dang1274,dang1276,Dangaleat,language,daa,daa,12.1517,18.385,['Africa'],['Chad'],,Dangla,Dangla,dang1274,Afro-Asiatic,afro1255,Africa,1,East Chadic,African Savannah,Afro-Asiatic
kimr1241,gabr1256,Kimre,language,kqp,kqp,9.42071,16.9423,['Africa'],['Chad'],,Gabri-Kimre,Gabri-Kimre,kimr1241,Afro-Asiatic,afro1255,Africa,1,,,
marb1239,marb1244,Marba,language,mpg,mpg,9.54,15.8,['Africa'],['Chad'],,Marba-Musey-Ham,Marba-Musey-Ham,marb1239,Afro-Asiatic,afro1255,Africa,1,,,
muse1242,marb1244,Musey,language,mse,mse,9.81612,15.4115,['Africa'],"['Cameroon', 'Chad']",,Marba-Musey-Ham,Marba-Musey-Ham,muse1242,Afro-Asiatic,afro1255,Africa,1,,,
masa1322,masa1324,Masana,language,mcn,mcn,10.0606,15.4748,['Africa'],"['Cameroon', 'Chad']",,Masa-Gizey-Zumaya,Masa-Gizey-Zumaya,masa1322,Afro-Asiatic,afro1255,Africa,1,Masa,African Savannah,Afro-Asiatic
haus1257,west2718,Hausa,language,hau,hau,11.1513,8.7804,['Africa'],"['Burkina Faso', 'Benin', 'Cameroon', 'Niger', 'Nigeria', 'Chad']",,West Chadic A.1,West Chadic A.1,haus1257,Afro-Asiatic,afro1255,Africa,1,West Chadic,African Savannah,Afro-Asiatic
mwag1236,west2717,Mwaghavul,language,sur,sur,9.47205,8.96522,['Africa'],['Nigeria'],,West Chadic A.3,West Chadic A.3,mwag1236,Afro-Asiatic,afro1255,Africa,1,West Chadic,African Savannah,Afro-Asiatic
