response,predictor,control,beta,pvalue,conf_int1,conf_int2
aff_concrete,geodist_norm,genetic,0.1119316023868834,1.957295362490506e-222,0.1095602920838826,0.1143029126898843
aff_concrete,contact_norm,genetic,0.1157061521577023,6.316144388826331e-252,0.113404116753847,0.1180081875615577
aff_concrete,neighbour,genetic,-0.1054766743255421,8.021028235047852e-51,-0.1102213943931143,-0.1007319542579698
aff_abstract,geodist_norm,genetic,0.0462873249746258,2.6795388807321853e-36,0.0438058172749337,0.0487688326743178
aff_abstract,contact_norm,genetic,0.0170461383268361,1.8128085410267103e-06,0.0146374111215362,0.0194548655321359
aff_abstract,neighbour,genetic,-0.0402531141502743,4.456371494049492e-08,-0.0452150294860318,-0.0352911988145167
aff_concrete,genetic,geodist_norm,-0.189583381942114,2.1368088045046762e-13,-0.2070047712813311,-0.172161992602897
aff_concrete,genetic,contact_norm,-0.1844128060955379,2.7455194268850108e-12,-0.2022070134817217,-0.166618598709354
aff_concrete,genetic,neighbour,-0.2632900283741551,8.926938630641058e-25,-0.2805696528853335,-0.2460104038629767
aff_abstract,genetic,geodist_norm,0.1529800136387275,2.5877460797726872e-09,0.135655196832338,0.1703048304451169
aff_abstract,genetic,contact_norm,0.1529206827140841,3.842296782447546e-12,0.1380646470486336,0.1677767183795346
aff_abstract,genetic,neighbour,0.1452211960717379,1.2601010332465517e-08,0.1280109492875845,0.1624314428558912
